Canton,Total émigrations de Suisses 2019-2023,% du total,% de la population résidente suisse vivant dans ce canton 2023,différence,Canton_FR
Aargau,7593,5.1,8.1,-2.9,Argovie
Appenzell Ausserrhoden,724,0.5,0.7,-0.2,Appenzell-Rhodes extérieures
Appenzell Innerrhoden,135,0.1,0.2,-0.1,Appenzell-Rhodes intérieures
Basel-Landschaft,3896,2.6,3.4,-0.8,Bâle-Campagne
Basel-Stadt,4792,3.2,1.9,1.3,Bâle-Ville
Bern,12060,8.2,13.4,-5.2,Berne
Freiburg,4187,2.8,3.9,-1.1,Fribourg
Genève,19542,13.2,4.7,8.6,Genève
Glarus,389,0.3,0.5,-0.2,Glaris
Graubünden,2735,1.9,2.5,-0.6,Grisons
Jura,1119,0.8,1.0,-0.2,Jura
Luzern,4241,2.9,5.2,-2.4,Lucerne
Neuchâtel,3701,2.5,2.0,0.5,Neuchâtel
Nidwalden,434,0.3,0.6,-0.3,Nidwald
Obwalden,351,0.2,0.5,-0.3,Obwald
Schaffhausen,1280,0.9,1.0,-0.1,Schaffhouse
Schwyz,2000,1.4,1.9,-0.6,Schwytz
Solothurn,2775,1.9,3.3,-1.4,Soleure
St. Gallen,6493,4.4,6.0,-1.6,St. Gall
Thurgau,3441,2.3,3.3,-0.9,Thurgovie
Ticino,6678,4.5,3.9,0.6,Tessin
Uri,252,0.2,0.5,-0.3,Uri
Valais,5059,3.4,4.2,-0.8,Valais
Vaud,20603,13.9,8.5,5.4,Vaud
Zug,2010,1.4,1.4,-0.1,Zoug
Zürich,31298,21.2,17.5,3.7,Zurich
