année,émigration,immigration
1991,29 890 ,31 673 
1992,30 672 ,25 299 
1993,27 489 ,22 083 
1994,29 639 ,22 538 
1995,30 152 ,23 010 
1996,31 449 ,23 232 
1997,30 641 ,22 083 
1998,30 761 ,23 753 
1999,29 024 ,24 276 
2000,30 776 ,26 102 
2001,25 757 ,24 331 
2002,24 902 ,22 326 
2003,25 710 ,20 971 
2004,26 776 ,19 354 
2005,27 655 ,19 179 
2006,30 479 ,20 409 
2007,29 487 ,21 779 
2008,27 864 ,22 668 
2009,26 800 ,22 354 
2010,26 311 ,22 283 
2011,29 756 ,24 104 
2012,30 026 ,24 006 
2013,28 489 ,26 054 
2014,28 496 ,26 177 
2015,30 103 ,25 952 
2016,30 565 ,24 276 
2017,31 840 ,23 803 
2018,31 794 ,23 902 
2019,31 362 ,23 965 
2020,25 774 ,25 495 
2021,28 716 ,22 134 
2022,31 262 ,21 828 
2023,30 674 ,22 041 
2024,30 106 ,22 535 
